year,gender,final_rank,skater,nation,total_tss,sp_rank,fs_rank,tss_sp,tes_sp,pcs_sp,tss_fs,tes_fs,pcs_fs,tes_total,pcs_total,medal,skater_status,final_rank_num,tech_dominance_pct,is_medal,is_gold,rank_change,score_momentum,tes_pcs_ratio
2026,M,1,SHAIDOROV Mikhail,KAZ,291.58,5,1.0,92.94,52.45,40.49,198.64,114.68,83.96,167.13,124.45,1,COMPLETED,1.0,0.5732,1,1,4.0,105.69999999999999,1.3429489754921655
2026,M,2,KAGIYAMA Yuma,JPN,280.06,2,6.0,103.07,56.5,46.57,176.99,92.15,85.84,148.65,132.41,2,COMPLETED,2.0,0.5289,1,0,-4.0,73.92000000000002,1.122649346726078
2026,M,3,SATO Shun,JPN,274.9,9,3.0,88.7,46.77,41.93,186.2,101.85,84.35,148.62,126.28,3,COMPLETED,3.0,0.5406,1,0,6.0,97.49999999999999,1.1769084573962623
2026,M,4,CHA Junhwan,KOR,273.92,6,5.0,92.72,50.08,42.64,181.2,95.16,87.04,145.24,129.68,0,COMPLETED,4.0,0.5283,0,0,1.0,88.47999999999999,1.1199876619370759
2026,M,5,GOGOLEV Stephen,CAN,273.78,10,2.0,87.41,48.23,39.18,186.37,103.22,83.15,151.45,122.33,0,COMPLETED,5.0,0.5532,0,0,8.0,98.96000000000001,1.2380446333687565
2026,M,6,GUMENNIK Petr,AIN,271.21,12,4.0,86.72,48.43,38.29,184.49,103.84,80.65,152.27,118.94,0,COMPLETED,6.0,0.5614,0,0,8.0,97.77000000000001,1.2802253236926182
2026,M,7,SIAO HIM FA Adam,FRA,269.27,3,12.0,102.55,57.27,45.28,166.72,84.97,82.75,142.24,128.03,0,COMPLETED,7.0,0.5263,0,0,-9.0,64.17,1.1109896118097322
2026,M,8,MALININ Ilia,USA,264.49,1,15.0,108.16,62.35,45.81,156.33,76.61,81.72,138.96,127.53,0,COMPLETED,8.0,0.5214,0,0,-14.0,48.170000000000016,1.0896259703599154
2026,M,9,GRASSL Daniel,ITA,263.71,4,8.0,93.46,52.73,40.73,170.25,88.79,81.46,141.52,122.19,0,COMPLETED,9.0,0.5367000000000001,0,0,-4.0,76.79,1.158196251739095
2026,M,10,EGADZE Nika,GEO,260.27,15,7.0,85.11,45.85,39.26,175.16,96.23,79.93,142.08,119.19,0,COMPLETED,10.0,0.5438000000000001,0,0,8.0,90.05,1.1920463126101184
2026,M,11,AYMOZ Kevin,FRA,259.94,7,11.0,92.64,48.55,44.09,167.3,81.45,85.85,130.0,129.94,0,COMPLETED,11.0,0.5001,0,0,-4.0,74.66000000000001,1.0004617515776513
2026,M,12,TORGASHEV Andrew,USA,259.06,8,9.0,88.94,48.56,40.38,170.12,86.16,83.96,134.72,124.34,0,COMPLETED,12.0,0.52,0,0,-1.0,81.18,1.0834807785105356
2026,M,13,MIURA Kao,JPN,246.88,22,10.0,76.77,37.44,40.33,170.11,92.72,78.39,130.16,118.72,0,COMPLETED,13.0,0.523,0,0,12.0,93.34000000000002,1.0963611859838274
2026,M,14,BRITSCHGI Lukas,SUI,246.64,19,13.0,80.87,40.61,40.26,165.77,85.01,80.76,125.62,121.02,0,COMPLETED,14.0,0.5093,0,0,6.0,84.9,1.038010246240291
2026,M,15,RIZZO Matteo,ITA,243.18,16,14.0,84.3,42.49,41.81,158.88,76.32,82.56,118.81,124.37,0,COMPLETED,15.0,0.4886,0,0,2.0,74.58,0.9552946852134759
2026,M,16,SELEVKO Aleksandr,EST,236.82,18,16.0,82.02,41.33,41.69,154.8,77.05,77.75,118.38,119.44,0,COMPLETED,16.0,0.4978,0,0,2.0,72.78000000000002,0.9911252511721366
2026,M,17,JIN Boyang,CHN,229.08,13,20.0,86.55,47.79,38.76,142.53,70.87,72.66,118.66,111.42,0,COMPLETED,17.0,0.5157,0,0,-7.0,55.980000000000004,1.0649793573864657
2026,M,18,VASILJEVS Deniss,LAT,226.46,17,18.0,82.44,42.34,40.1,144.02,67.07,76.95,109.41,117.05,0,COMPLETED,18.0,0.48310000000000003,0,0,-1.0,61.58000000000001,0.9347287483981205
2026,M,19,MARSAK Kyrylo,UKR,224.17,11,23.0,86.89,49.2,37.69,137.28,64.92,73.36,114.12,111.05,0,COMPLETED,19.0,0.5068,0,0,-12.0,50.39,1.0276452048626745
2026,M,20,NAUMOV Maxim,USA,223.36,14,22.0,85.65,47.77,37.88,137.71,64.66,75.05,112.43,112.93,0,COMPLETED,20.0,0.4989,0,0,-8.0,52.06,0.9955724785265209
2026,M,21,SAMOILOV Vladimir,POL,222.25,21,17.0,77.57,40.88,36.69,144.68,72.65,73.03,113.53,109.72,0,COMPLETED,21.0,0.5085000000000001,0,0,4.0,67.11000000000001,1.0347247539190667
2026,M,22,CARRILLO Donovan,MEX,219.06,23,19.0,75.56,39.71,36.85,143.5,71.56,71.94,111.27,108.79,0,COMPLETED,22.0,0.5056,0,0,4.0,67.94,1.022796212887214
2026,M,23,LI Yu-Hsiang,TPE,214.33,24,21.0,72.41,39.84,32.57,141.92,77.25,64.67,117.09,97.24,0,COMPLETED,23.0,0.5463,0,0,3.0,69.50999999999999,1.2041341011929247
2026,M,24,HAGARA Adam,SVK,202.38,20,24.0,80.3,45.17,35.13,122.08,61.91,62.17,107.08,97.3,0,COMPLETED,24.0,0.5239,0,0,-4.0,41.78,1.1005138746145942
2026,M,FNR,GUARINO SABATE Tomas,ESP,69.8,25,0.0,69.8,34.25,35.55,0.0,0.0,0.0,34.25,35.55,0,FNR,,0.4907,0,0,25.0,-69.8,0.9634317862165964
2026,M,FNR,KIM Hyungyeom,KOR,69.3,26,0.0,69.3,37.92,32.38,0.0,0.0,0.0,37.92,32.38,0,FNR,,0.5394,0,0,26.0,-69.3,1.1710932674490426
2026,M,FNR,NORDEBACK Andreas,SWE,67.15,27,0.0,67.15,31.45,35.7,0.0,0.0,0.0,31.45,35.7,0,FNR,,0.46840000000000004,0,0,27.0,-67.15,0.8809523809523808
2026,M,FNR,KULISS Fedirs,LAT,66.86,28,0.0,66.86,35.83,32.03,0.0,0.0,0.0,35.83,32.03,0,FNR,,0.528,0,0,28.0,-66.86,1.1186387761473617
2026,M,FNR,LITVINTSEV Vladimir,AZE,63.63,29,0.0,63.63,31.13,32.5,0.0,0.0,0.0,31.13,32.5,0,FNR,,0.4892,0,0,29.0,-63.63,0.9578461538461538
2026,W,1,LIU Alysa,USA,226.79,3,1.0,76.59,41.34,35.25,150.2,77.74,72.46,119.08,107.71,1,COMPLETED,1.0,0.5251,1,1,2.0,73.60999999999999,1.105561229226627
2026,W,2,SAKAMOTO Kaori,JPN,224.9,2,2.0,77.23,40.08,37.15,147.67,72.83,74.84,112.91,111.99,2,COMPLETED,2.0,0.502,1,0,0.0,70.43999999999998,1.0082150191981427
2026,W,3,NAKAI Ami,JPN,219.16,1,9.0,78.71,45.02,33.69,140.45,72.53,67.92,117.55,101.61,3,COMPLETED,3.0,0.5364,1,0,-8.0,61.739999999999995,1.1568743233933667
2026,W,4,CHIBA Mone,JPN,217.88,4,4.0,74.0,38.72,35.28,143.88,74.46,69.42,113.18,104.7,0,COMPLETED,4.0,0.5195000000000001,0,0,0.0,69.88,1.0809933142311365
2026,W,5,GLENN Amber,USA,214.91,13,3.0,67.39,34.19,33.2,147.52,78.87,68.65,113.06,101.85,0,COMPLETED,5.0,0.5261,0,0,10.0,80.13000000000001,1.11006381934217
2026,W,6,PETROSIAN Adeliia,AIN,214.53,5,5.0,72.89,40.44,32.45,141.64,76.93,65.71,117.37,98.16,0,COMPLETED,6.0,0.5446,0,0,0.0,68.74999999999999,1.1957008964955176
2026,W,7,PETROKINA Niina,EST,210.82,10,6.0,69.63,36.8,32.83,141.19,74.82,66.37,111.62,99.2,0,COMPLETED,7.0,0.5295000000000001,0,0,4.0,71.56,1.1252016129032258
2026,W,8,LEE Haein,KOR,210.56,9,8.0,70.07,37.61,32.46,140.49,74.15,66.34,111.76,98.8,0,COMPLETED,8.0,0.5307999999999999,0,0,1.0,70.42000000000002,1.131174089068826
2026,W,9,GUBANOVA Anastasiia,GEO,209.99,6,11.0,71.77,38.28,33.49,138.22,71.39,66.83,109.67,100.32,0,COMPLETED,9.0,0.5223,0,0,-5.0,66.45,1.093201754385965
2026,W,10,SAMODELKINA Sofia,KAZ,207.46,12,10.0,68.47,36.42,32.05,138.99,73.77,65.22,110.19,97.27,0,COMPLETED,10.0,0.5311,0,0,2.0,70.52000000000001,1.1328261540043179
2026,W,11,SHIN Jia,KOR,206.68,14,7.0,65.66,35.79,30.87,141.02,75.05,65.97,110.84,96.84,0,COMPLETED,11.0,0.5337,0,0,7.0,75.36000000000001,1.1445683601817431
2026,W,12,LEVITO Isabeau,USA,202.8,8,13.0,70.84,36.77,34.07,131.96,64.5,68.46,101.27,102.53,0,COMPLETED,12.0,0.49689999999999995,0,0,-5.0,61.120000000000005,0.9877109138788647
2026,W,13,PINZARRONE Nina,BEL,200.3,11,14.0,68.97,36.86,32.11,131.33,67.63,63.7,104.49,95.81,0,COMPLETED,13.0,0.5217,0,0,-3.0,62.360000000000014,1.090595971192986
2026,W,14,HENDRICKX Loena,BEL,199.65,7,15.0,70.93,36.92,34.01,128.72,61.49,67.23,98.41,101.24,0,COMPLETED,14.0,0.4929,0,0,-8.0,57.78999999999999,0.9720466218885816
2026,W,15,GUTMANN Lara Naki,ITA,195.75,18,12.0,61.56,29.5,32.06,134.19,69.73,64.46,99.23,96.52,0,COMPLETED,15.0,0.5069,0,0,6.0,72.63,1.0280770824699546
2026,W,16,KARHUNEN Iida,FIN,192.79,15,17.0,65.06,36.22,28.84,127.73,68.43,59.3,104.65,88.14,0,COMPLETED,16.0,0.5428000000000001,0,0,-2.0,62.67,1.1873156342182891
2026,W,17,SAUTER Julia,ROU,190.93,16,16.0,63.13,34.15,28.98,127.8,66.28,61.52,100.43,90.5,0,COMPLETED,17.0,0.526,0,0,0.0,64.66999999999999,1.1097237569060774
2026,W,18,MIKUTINA Olga,AUT,185.59,17,18.0,61.72,32.64,29.08,123.87,64.06,59.81,96.7,88.89,0,COMPLETED,18.0,0.521,0,0,-1.0,62.150000000000006,1.0878614017324784
2026,W,19,ZHANG Ruiyang,CHN,178.03,20,19.0,59.38,32.64,26.74,118.65,61.54,57.11,94.18,83.85,0,COMPLETED,19.0,0.529,0,0,1.0,59.27,1.1231961836613
2026,W,20,KURAKOVA Ekaterina,POL,173.37,19,21.0,60.14,31.56,28.58,113.23,56.6,56.63,88.16,85.21,0,COMPLETED,20.0,0.5085000000000001,0,0,-2.0,53.09,1.0346203497242108
2026,W,21,KAISER Livia,SUI,171.52,23,20.0,55.69,30.62,26.07,115.83,62.95,53.88,93.57,79.95,0,COMPLETED,21.0,0.5392,0,0,3.0,60.14,1.1703564727954971
2026,W,22,SCHILD Lorine,FRA,167.08,24,22.0,55.63,29.32,26.31,111.45,59.41,52.04,88.73,78.35,0,COMPLETED,22.0,0.5311,0,0,2.0,55.82,1.132482450542438
2026,W,23,REPOND Kimmy,SUI,159.54,21,23.0,59.2,29.84,29.36,100.34,51.21,53.13,81.05,82.49,0,COMPLETED,23.0,0.49560000000000004,0,0,-2.0,41.14,0.9825433385864953
2026,W,24,SENIUK Mariia,ISR,152.61,22,24.0,58.61,32.15,26.46,94.0,44.64,50.36,76.79,76.82,0,COMPLETED,24.0,0.4999,0,0,-2.0,35.39,0.9996094766987765
2026,W,FNR,SCHIZAS Madeline,CAN,55.38,25,0.0,55.38,26.39,28.99,0.0,0.0,0.0,26.39,28.99,0,FNR,,0.4765,0,0,25.0,-55.38,0.9103139013452916
2026,W,FNR,SAFONOVA Viktoriia,AIN,54.57,26,0.0,54.57,29.15,25.42,0.0,0.0,0.0,29.15,25.42,0,FNR,,0.5342,0,0,26.0,-54.57,1.1467348544453184
2026,W,FNR,VARIAKOJYTE Meda,LTU,53.86,27,0.0,53.86,29.77,24.09,0.0,0.0,0.0,29.77,24.09,0,FNR,,0.5527000000000001,0,0,27.0,-53.86,1.2357824823578247
2026,W,FNR,FEIGIN Alexandra,BUL,53.42,28,0.0,53.42,28.77,24.65,0.0,0.0,0.0,28.77,24.65,0,FNR,,0.5386,0,0,28.0,-53.42,1.1671399594320486
2026,W,FNR,SPOURS Kristen,GBR,45.54,29,0.0,45.54,21.55,23.99,0.0,0.0,0.0,21.55,23.99,0,FNR,,0.4732,0,0,29.0,-45.54,0.8982909545644019
2022,M,1,CHEN Nathan,USA,332.6,1,1.0,113.97,65.98,47.99,218.63,121.41,97.22,187.39,145.21,1,COMPLETED,1.0,0.5634,1,1,0.0,104.66,1.2904758625439017
2022,M,2,KAGIYAMA Yuma,JPN,310.05,2,2.0,108.12,60.91,47.21,201.93,107.99,93.94,168.9,141.15,2,COMPLETED,2.0,0.5448,1,0,0.0,93.81,1.1965993623804463
2022,M,3,UNO Shoma,JPN,293.0,3,5.0,105.9,59.05,46.85,187.1,96.24,91.86,155.29,138.71,3,COMPLETED,3.0,0.5282,1,0,-2.0,81.19999999999999,1.119529954581501
2022,M,4,HANYU Yuzuru,JPN,283.21,8,3.0,95.15,48.07,47.08,188.06,99.62,90.44,147.69,137.52,0,COMPLETED,4.0,0.5178,0,0,5.0,92.91,1.0739528795811517
2022,M,5,CHA Junhwan,KOR,282.38,4,7.0,99.51,54.3,45.21,182.87,93.59,90.28,147.89,135.49,0,COMPLETED,5.0,0.5219,0,0,-3.0,83.36,1.0915196693482911
2022,M,6,BROWN Jason,USA,281.24,6,6.0,97.24,49.95,47.29,184.0,87.66,96.34,137.61,143.63,0,COMPLETED,6.0,0.4893,0,0,0.0,86.76,0.9580867506788276
2022,M,7,GRASSL Daniel,ITA,278.07,12,4.0,90.64,48.7,41.94,187.43,103.35,84.08,152.05,126.02,0,COMPLETED,7.0,0.5468,0,0,8.0,96.79,1.2065545151563246
2022,M,8,SEMENENKO Evgeni,ROC,274.13,7,9.0,95.76,55.23,40.53,178.37,94.81,83.56,150.04,124.09,0,COMPLETED,8.0,0.5473,0,0,-2.0,82.61,1.209122411153195
2022,M,9,JIN Boyang,CHN,270.43,11,8.0,90.98,51.62,39.36,179.45,97.23,82.22,148.85,121.58,0,COMPLETED,9.0,0.5504,0,0,3.0,88.46999999999998,1.224296759335417
2022,M,10,KVITELASHVILI Morisi,GEO,268.62,5,11.0,97.98,55.69,42.29,170.64,85.92,84.72,141.61,127.01,0,COMPLETED,10.0,0.5272,0,0,-6.0,72.65999999999998,1.114951578615857
2022,M,11,MESSING Keegan,CAN,265.61,9,10.0,93.24,49.3,43.94,172.37,84.13,88.24,133.43,132.18,0,COMPLETED,11.0,0.5024000000000001,0,0,-1.0,79.13000000000001,1.0094568013315177
2022,M,12,AYMOZ Kevin,FRA,254.8,10,15.0,93.0,49.93,43.07,161.8,76.6,86.2,126.53,129.27,0,COMPLETED,12.0,0.4946,0,0,-5.0,68.80000000000001,0.9788040535313683
2022,M,13,VASILJEVS Deniss,LAT,252.71,16,12.0,85.3,43.08,42.22,167.41,84.75,83.66,127.83,125.88,0,COMPLETED,13.0,0.5038,0,0,4.0,82.11,1.015490943755958
2022,M,14,SIAO HIM FA Adam,FRA,250.15,14,13.0,86.74,47.28,40.46,163.41,81.69,82.72,128.97,123.18,0,COMPLETED,14.0,0.5115,0,0,1.0,76.67,1.0470043838285434
2022,M,15,KONDRATIUK Mark,ROC,248.82,15,14.0,85.3,43.08,42.22,162.71,80.15,83.56,123.23,125.78,0,COMPLETED,15.0,0.4949,0,0,1.0,77.41000000000001,0.9797265065988233
2022,M,16,RIZZO Matteo,ITA,247.53,13,17.0,88.63,46.71,41.92,158.9,76.92,82.98,123.63,124.9,0,COMPLETED,16.0,0.4974,0,0,-4.0,70.27000000000001,0.9898318654923939
2022,M,17,KERRY Brendan,AUS,244.8,17,16.0,84.79,45.93,38.86,160.01,83.51,76.5,129.44,115.36,0,COMPLETED,17.0,0.5288,0,0,1.0,75.21999999999998,1.1220527045769764
2022,M,18,LITVINTSEV Vladimir,AZE,239.19,18,19.0,84.15,47.14,37.01,155.04,80.76,74.28,127.9,111.29,0,COMPLETED,18.0,0.5347,0,0,-1.0,70.88999999999999,1.149249707970168
2022,M,19,MOZALEV Andrei,ROC,233.33,23,18.0,77.05,36.76,41.29,156.28,79.48,78.8,116.24,120.09,0,COMPLETED,19.0,0.4919,0,0,5.0,79.23,0.9679407111333166
2022,M,20,MILYUKOV Konstantin,BLR,222.22,21,20.0,78.49,41.92,36.57,143.73,71.35,72.38,113.27,108.95,0,COMPLETED,20.0,0.5097,0,0,1.0,65.24,1.039651216154199
2022,M,21,MAJOROV Nikolaj,SWE,220.78,20,21.0,78.54,41.22,37.32,142.24,67.6,74.64,108.82,111.96,0,COMPLETED,21.0,0.4929,0,0,-1.0,63.7,0.9719542693819221
2022,M,22,CARRILLO Donovan,MEX,218.13,19,22.0,79.69,43.08,36.61,138.44,66.56,72.88,109.64,109.49,0,COMPLETED,22.0,0.5003,0,0,-3.0,58.75,1.0013699881267697
2022,M,23,BRITSCHGI Lukas,SUI,212.58,24,23.0,76.16,39.76,36.4,136.42,64.72,71.7,104.48,108.1,0,COMPLETED,23.0,0.4915,0,0,1.0,60.25999999999999,0.9665124884366328
2022,M,24,SHMURATKO Ivan,UKR,205.76,22,24.0,78.11,41.08,37.03,127.65,57.17,71.48,98.25,108.51,0,COMPLETED,24.0,0.4752,0,0,-2.0,49.540000000000006,0.905446502626486
2022,M,FNR,BREZINA Michal,CZE,75.19,25,0.0,75.19,36.69,39.5,0.0,0.0,0.0,36.69,39.5,0,FNR,,0.4816,0,0,25.0,-75.19,0.9288607594936709
2022,M,FNR,BYCHENKO Alexei,ISR,68.01,26,0.0,68.01,33.02,35.99,0.0,0.0,0.0,33.02,35.99,0,FNR,,0.47850000000000004,0,0,26.0,-68.01,0.9174770769658239
2022,M,FNR,LEE Sihyeong,KOR,65.69,27,0.0,65.69,30.75,35.94,0.0,0.0,0.0,30.75,35.94,0,FNR,,0.4611,0,0,27.0,-65.69,0.8555926544240401
2022,M,FNR,SELEVKO Aleksandr,EST,65.29,28,0.0,65.29,28.79,36.5,0.0,0.0,0.0,28.79,36.5,0,FNR,,0.441,0,0,28.0,-65.29,0.7887671232876712
2022,M,FNR,SADOVSKY Roman,CAN,62.77,29,0.0,62.77,24.99,37.78,0.0,0.0,0.0,24.99,37.78,0,FNR,,0.3981,0,0,29.0,-62.77,0.6614610905240867
2022,M,WD,ZHOU Vincent,USA,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,WD,,0.0,0,0,0.0,0.0,
2022,W,1,SHCHERBAKOVA Anna,ROC,255.95,2,2.0,80.2,42.87,37.33,175.75,100.49,75.26,143.36,112.59,1,COMPLETED,1.0,0.5600999999999999,1,1,0.0,95.55,1.2732924771294076
2022,W,2,TRUSOVA Alexandra,ROC,251.73,4,1.0,74.6,40.12,35.48,177.13,106.16,70.97,146.28,106.45,2,COMPLETED,2.0,0.5788,1,0,3.0,102.53,1.3741662752465946
2022,W,3,SAKAMOTO Kaori,JPN,233.13,3,3.0,79.84,43.22,36.62,153.29,78.9,74.39,122.12,111.01,3,COMPLETED,3.0,0.5238,1,0,0.0,73.44999999999999,1.1000810737771372
2022,W,4,HIGUCHI Wakaba,JPN,214.44,5,6.0,73.51,39.53,33.98,140.93,72.67,69.26,112.2,103.24,0,COMPLETED,4.0,0.5207999999999999,0,0,-1.0,67.42,1.086788066640837
2022,W,5,YOU Young,KOR,213.09,6,4.0,70.34,36.8,33.54,142.75,74.16,68.59,110.96,102.13,0,COMPLETED,5.0,0.5207,0,0,2.0,72.41,1.0864584353275237
2022,W,6,LIU Alysa,USA,208.95,8,7.0,69.5,36.85,32.65,139.45,71.95,67.5,108.8,100.15,0,COMPLETED,6.0,0.5207,0,0,1.0,69.94999999999999,1.0863704443334996
2022,W,7,HENDRICKX Loena,BEL,206.79,7,9.0,70.09,36.09,34.0,136.7,66.19,70.51,102.28,104.51,0,COMPLETED,7.0,0.4946,0,0,-2.0,66.60999999999999,0.9786623289637355
2022,W,8,KIM Yelim,KOR,202.63,9,11.0,67.78,35.27,32.51,134.85,68.61,66.24,103.88,98.75,0,COMPLETED,8.0,0.5127,0,0,-2.0,67.07,1.0519493670886075
2022,W,9,BELL Mariah,USA,202.3,11,8.0,65.38,33.43,32.95,136.92,68.25,68.67,101.68,101.62,0,COMPLETED,9.0,0.5001,0,0,3.0,71.53999999999999,1.0005904349537493
2022,W,10,GUBANOVA Anastasiia,GEO,200.98,10,10.0,65.4,34.43,30.97,135.58,70.06,65.52,104.49,96.49,0,COMPLETED,10.0,0.5199,0,0,0.0,70.18,1.0829101461291326
2022,W,11,KURAKOVA Ekaterina,POL,185.84,24,12.0,59.08,28.42,30.66,126.76,66.24,60.52,94.66,91.18,0,COMPLETED,11.0,0.5094,0,0,12.0,67.68,1.0381662645316954
2022,W,12,SAFONOVA Viktoriia,BLR,184.83,17,13.0,61.46,32.72,28.74,123.37,65.54,57.83,98.26,86.57,0,COMPLETED,12.0,0.5316,0,0,4.0,61.910000000000004,1.135035231604482
2022,W,13,MIKUTINA Olga,AUT,182.2,18,14.0,61.14,32.54,28.6,121.06,61.12,59.94,93.66,88.54,0,COMPLETED,13.0,0.5141,0,0,4.0,59.92,1.0578269708606278
2022,W,14,RYABOVA Ekaterina,AZE,179.97,16,15.0,61.82,32.43,29.39,118.15,59.58,58.57,92.01,87.96,0,COMPLETED,14.0,0.5113,0,0,1.0,56.330000000000005,1.0460436562073672
2022,W,15,CHEN Karen,USA,179.93,13,17.0,64.11,31.24,33.87,115.82,51.61,65.21,82.85,99.08,0,COMPLETED,15.0,0.45539999999999997,0,0,-4.0,51.709999999999994,0.8361929753734355
2022,W,16,SCHOTT Nicole,GER,177.65,14,19.0,63.13,33.01,30.12,114.52,56.28,60.24,89.29,90.36,0,COMPLETED,16.0,0.49700000000000005,0,0,-5.0,51.38999999999999,0.988158477202302
2022,W,17,van ZUNDERT Lindsay,NED,175.81,22,16.0,59.24,32.12,27.12,116.57,61.74,54.83,93.86,81.95,0,COMPLETED,17.0,0.5339,0,0,6.0,57.32999999999999,1.1453325198291642
2022,W,18,SCHIZAS Madeline,CAN,175.56,20,18.0,60.53,29.61,30.92,115.03,53.68,62.35,83.29,93.27,0,COMPLETED,18.0,0.4717,0,0,2.0,54.5,0.8929988206282836
2022,W,19,BREZINOVA Eliska,CZE,175.41,12,21.0,64.31,35.74,28.57,111.1,54.81,58.29,90.55,86.86,0,COMPLETED,19.0,0.5104,0,0,-9.0,46.78999999999999,1.0424821551922634
2022,W,20,KIIBUS Eva-Lotta,EST,171.75,21,20.0,59.55,30.89,29.66,112.2,54.27,58.93,85.16,88.59,0,COMPLETED,20.0,0.4901,0,0,1.0,52.650000000000006,0.9612823117733378
2022,W,21,PAGANINI Alexia,SUI,168.91,19,22.0,61.06,32.03,29.03,107.85,50.01,57.84,82.04,86.87,0,COMPLETED,21.0,0.4857,0,0,-3.0,46.78999999999999,0.9443996776792909
2022,W,22,KAWABE Mana,JPN,166.73,15,23.0,62.69,33.66,30.03,104.04,47.87,60.17,81.53,90.2,0,COMPLETED,22.0,0.47479999999999994,0,0,-8.0,41.35000000000001,0.903880266075388
2022,W,23,FEIGIN Alexandra,BUL,159.31,23,24.0,59.16,32.36,26.8,100.15,49.89,51.26,82.25,78.06,0,COMPLETED,23.0,0.5131,0,0,-1.0,40.99000000000001,1.0536766589802715
2022,W,24,SAARINEN Jenni,FIN,153.04,25,25.0,56.97,27.79,29.18,96.07,45.96,54.11,73.75,83.29,0,COMPLETED,24.0,0.4696,0,0,0.0,39.099999999999994,0.8854604394285027
2022,W,FNR,TALJEGARD Josefin,SWE,54.51,26,0.0,54.51,26.11,28.4,0.0,0.0,0.0,26.11,28.4,0,FNR,,0.479,0,0,26.0,-54.51,0.9193661971830986
2022,W,FNR,ZHU Yi,CHN,53.44,27,0.0,53.44,26.37,27.07,0.0,0.0,0.0,26.37,27.07,0,FNR,,0.4935,0,0,27.0,-53.44,0.9741411156261545
2022,W,FNR,McKAY Natasha,GBR,52.54,28,0.0,52.54,26.2,27.34,0.0,0.0,0.0,26.2,27.34,0,FNR,,0.4894,0,0,28.0,-52.54,0.958302852962692
2022,W,FNR,CRAINE Kailani,AUS,49.93,29,0.0,49.93,22.78,27.15,0.0,0.0,0.0,22.78,27.15,0,FNR,,0.4562,0,0,29.0,-49.93,0.8390423572744016
2022,W,FNR,SHABOTOVA Anastasiia,UKR,48.68,30,0.0,48.68,24.04,25.64,0.0,0.0,0.0,24.04,25.64,0,FNR,,0.4839,0,0,30.0,-48.68,0.937597503900156
2022,W,DSQ,VALIEVA Kamila,ROC,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,DSQ,,0.0,0,0,0.0,0.0,
2018,M,1,HANYU Yuzuru,JPN,317.85,1,2.0,111.68,63.18,48.5,206.17,109.55,96.62,172.73,145.12,1,COMPLETED,1.0,0.5434,1,1,-1.0,94.48999999999998,1.1902563395810364
2018,M,2,UNO Shoma,JPN,306.9,3,3.0,104.17,58.13,46.04,202.73,111.01,92.72,169.14,138.76,2,COMPLETED,2.0,0.5493,1,0,0.0,98.55999999999999,1.218939175554915
2018,M,3,FERNANDEZ Javier,ESP,305.24,2,4.0,107.58,59.79,47.79,197.66,101.52,96.14,161.31,143.93,3,COMPLETED,3.0,0.5285,1,0,-2.0,90.08,1.1207531438893907
2018,M,4,JIN Boyang,CHN,297.77,4,5.0,103.32,60.27,43.05,194.45,109.69,85.76,169.96,128.81,0,COMPLETED,4.0,0.5689,0,0,-1.0,91.13,1.319462774629299
2018,M,5,CHEN Nathan,USA,297.35,17,1.0,82.27,41.39,41.88,215.08,127.64,87.44,169.03,129.32,0,COMPLETED,5.0,0.5665,0,0,16.0,132.81,1.307067738942159
2018,M,6,ZHOU Vincent,USA,276.69,12,6.0,84.53,48.5,36.03,192.16,112.24,79.92,160.74,115.95,0,COMPLETED,6.0,0.5809000000000001,0,0,6.0,107.63,1.386287192755498
2018,M,7,ALIEV Dmitri,OAR,267.51,5,13.0,98.98,56.98,42.0,168.53,85.39,85.14,142.37,127.14,0,COMPLETED,7.0,0.5283,0,0,-8.0,69.55,1.119789208746264
2018,M,8,KOLYADA Mikhail,OAR,264.25,8,7.0,86.69,43.84,43.85,177.56,91.62,87.94,135.46,131.79,0,COMPLETED,8.0,0.5069,0,0,1.0,90.87,1.0278473328780637
2018,M,9,CHAN Patrick,CAN,263.43,6,8.0,90.01,45.08,45.93,173.42,81.56,91.86,126.64,137.79,0,COMPLETED,9.0,0.4789,0,0,-2.0,83.40999999999998,0.9190797590536324
2018,M,10,RIPPON Adam,USA,259.36,7,10.0,87.95,44.48,43.47,171.41,84.47,86.94,128.95,130.41,0,COMPLETED,10.0,0.4972,0,0,-3.0,83.46,0.9888045395291771
2018,M,11,BYCHENKO Alexei,ISR,257.01,13,9.0,84.13,43.63,40.5,172.88,89.08,83.8,132.71,124.3,0,COMPLETED,11.0,0.5164,0,0,4.0,88.75,1.0676588897827837
2018,M,12,MESSING Keegan,CAN,255.43,10,12.0,85.11,45.5,40.61,170.32,84.88,85.44,130.38,126.05,0,COMPLETED,12.0,0.5084000000000001,0,0,-2.0,85.21,1.0343514478381595
2018,M,13,SAMOHIN Daniel,ISR,251.44,18,11.0,80.69,43.29,38.4,170.75,89.03,81.72,132.32,120.12,0,COMPLETED,13.0,0.5242,0,0,7.0,90.06,1.1015651015651016
2018,M,14,HENDRICKX Jorik,BEL,248.95,11,16.0,84.74,44.17,40.57,164.21,81.79,82.42,125.96,122.99,0,COMPLETED,14.0,0.506,0,0,-5.0,79.47000000000001,1.0241483047402227
